"Ticker","Company","Country","Exchange","Industry","Gross Profit Margin","Diluted EPS 1Y Growth","Gross Profit 3Y CAGR","Gross Profit 1Y Growth","Free Cash Flow (M)","Total Enterprise Value (TEV) (M)","Stock-Based Compensation (Cash Flow Statement) (M)","Free Cash Flow Margin","Shares Out Growth 3Y (CAGR)","EPS Normalized Actual vs Estimate (Quarterly)","Revenue Actual vs Estimate (Quarterly)","FCF Yield","Forward FCF Yield","Stock Price","TR 1M Performance","YTD Performance","Revenue Forward 2Y CAGR","CapEx to Revenue","PEG Ratio","Market Cap (M)","Buyback Yield","Revenue 3Y CAGR","Operating Margin","Net Debt / EBITDA","Beta","TR 3Y Performance (CAGR)","Diluted EPS 3Y CAGR","EPS Normalized Forward 2Y CAGR","Return on Invested Capital","TR 5Y Performance (CAGR)"
"PGNY","Progyny, Inc.","US","NasdaqGS","Health Care Providers and Services","24.6%","55.4%","15.4%","16.1%","$178.38","$1,749.01","$107.17","13.6%","-7.0%","19.9%","0.5%","9.1%","8.2%","$25.66","-17.8%","-0.6%","8.3%","0.0","2.7","$1,963.44","12.6%","11.0%","9.1%","-1.7","1.0","-11.9%","22.8%","5.4%","28.2%","-14.6%"
"GCT","GigaCloud Technology Inc.","US","NasdaqGM","Distributors","24.0%","27.0%","43.4%","24.2%","$157.64","$1,862.08","$12.29","10.7%","-4.5%","36.5%","8.1%","9.1%","9.0%","$47.37","8.0%","25.2%","13.5%","0.0","0.5","$1,733.02","3.7%","40.0%","11.7%","0.7","2.3","52.9%","59.7%","6.6%","22.4%",""
"BLBD","Blue Bird Corporation","US","NasdaqGM","Machinery","20.6%","143.2%","57.8%","19.9%","$153.14","$1,840.89","$7.44","9.5%","-0.5%","24.8%","3.6%","8.3%","2.5%","$60.55","-22.0%","24.4%","17.0%","0.0","0.7","$1,841.96","1.3%","14.0%","11.8%","-0.0","1.4","37.6%","147.0%","6.8%","31.2%","22.8%"
"STRA","Strategic Education, Inc.","US","NasdaqGS","Diversified Consumer Services","49.1%","24.5%","11.3%","7.2%","$168.59","$1,792.34","$21.89","13.1%","-3.2%","-5.6%","3.0%","9.3%","8.4%","$83.32","-1.0%","5.4%","2.7%","0.0","0.8","$1,819.38","8.9%","6.1%","15.7%","-0.1","0.6","4.2%","57.6%","14.4%","7.7%","4.3%"
"OPRA","Opera Limited","NO","NasdaqGS","Software","50.4%","53.1%","18.3%","18.5%","$125.02","$1,572.67","$29.01","18.3%","-0.4%","8.5%","0.5%","7.3%","7.9%","$18.77","-1.4%","35.1%","17.8%","0.0","0.5","$1,709.88","1.6%","23.5%","16.3%","-1.1","1.2","14.8%","31.0%","24.7%","10.5%","19.8%"
"ALNT","Allient Inc.","US","NasdaqGM","Electrical Equipment","33.3%","99.8%","2.9%","14.9%","$27.50","$1,753.54","$3.52","4.8%","1.7%","23.3%","5.5%","1.7%","4.1%","$86.45","4.3%","69.1%","8.6%","0.0","2.1","$1,598.41","0.2%","1.0%","8.9%","2.0","1.6","38.4%","5.5%","19.6%","8.3%","22.4%"
"ANIP","ANI Pharmaceuticals, Inc.","US","NasdaqGM","Pharmaceuticals","60.4%","-725.5%","32.7%","26.6%","$172.99","$1,818.78","$41.06","17.7%","4.3%","17.9%","2.3%","11.0%","9.2%","$71.92","-8.5%","-6.6%","18.0%","0.0","0.9","$1,569.71","0.6%","34.6%","12.6%","1.2","0.5","4.3%","115.2%","15.8%","10.1%","19.0%"
"PRG","PROG Holdings, Inc.","US","NYSE","Consumer Finance","36.1%","-29.4%","3.8%","24.7%","$318.74","$2,320.64","$31.11","12.2%","-4.5%","58.1%","0.9%","21.0%","11.9%","$37.60","-16.5%","29.8%","17.1%","0.0","0.3","$1,518.78","1.2%","1.7%","16.1%","1.8","1.7","4.7%","8.5%","20.4%","20.5%","-3.5%"
"HCSG","Healthcare Services Group, Inc.","US","NasdaqGS","Commercial Services and Supplies","17.1%","1,111.6%","16.9%","65.4%","$148.54","$1,362.23","$11.31","8.0%","-2.6%","72.0%","-0.1%","9.8%","5.4%","$21.82","-6.1%","26.7%","5.2%","0.0","0.3","$1,509.22","6.3%","3.6%","6.9%","-1.1","0.8","23.3%","52.6%","19.3%","21.1%","-2.4%"
"INVA","Innoviva, Inc.","US","NasdaqGS","Pharmaceuticals","72.7%","708.3%","11.3%","-1.6%","$189.44","$1,252.72","$12.19","43.1%","3.5%","11.1%","7.8%","12.6%","10.8%","$21.08","0%","4.5%","9.0%","0.0","-0.1","$1,500.54","2.8%","14.9%","38.4%","-1.3","0.5","17.4%","17.6%","8.6%","14.4%","6.3%"
